Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 20, 2016 12:40 EST
"Nutrient data for: 11924, Soybeans, mature seeds, sprouted, cooked, stir-fried, with salt"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,67.20,
"Energy",kcal,125,
"Protein",g,13.10,
"Total lipid (fat)",g,7.10,
"Carbohydrate, by difference",g,9.40,
"Fiber, total dietary",g,0.8,
Minerals
"Calcium, Ca",mg,82,
"Iron, Fe",mg,0.40,
"Magnesium, Mg",mg,96,
"Phosphorus, P",mg,216,
"Potassium, K",mg,567,
"Sodium, Na",mg,250,
"Zinc, Zn",mg,2.10,
Vitamins
"Vitamin C, total ascorbic acid",mg,12.0,
"Thiamin",mg,0.420,
"Riboflavin",mg,0.190,
"Niacin",mg,1.100,
"Vitamin B-6",mg,0.168,
"Folate, DFE",µg,127,
"Vitamin B-12",µg,0.00,
"Vitamin A, RAE",µg,1,
"Vitamin A, IU",IU,17,
"Vitamin D (D2 + D3)",µg,0.0,
"Vitamin D",IU,0,
Lipids
"Cholesterol",mg,0,
Amino Acids
Other
